Date:20160324, table:MarketData_510050_sh, MaxRecordDate:20160323, Wind:2874
Date:20160325, table:MarketData_510050_sh, MaxRecordDate:20160324, Wind:2657
Date:20160328, table:MarketData_510050_sh, MaxRecordDate:20160325, Wind:2598
Date:20160329, table:MarketData_510050_sh, MaxRecordDate:20160328, Wind:2911
Date:20160330, table:MarketData_510050_sh, MaxRecordDate:20160329, Wind:2656
Date:20160331, table:MarketData_510050_sh, MaxRecordDate:20160330, Wind:2597
Date:20160401, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2655
Date:20160405, table:MarketData_510050_sh, MaxRecordDate:20160401, Wind:2671
Date:20160406, table:MarketData_510050_sh, MaxRecordDate:20160405, Wind:2851
Date:20160407, table:MarketData_510050_sh, MaxRecordDate:20160406, Wind:2605
Date:20160408, table:MarketData_510050_sh, MaxRecordDate:20160407, Wind:2601
Date:20160411, table:MarketData_510050_sh, MaxRecordDate:20160408, Wind:2587
Date:20160412, table:MarketData_510050_sh, MaxRecordDate:20160411, Wind:2586
Date:20160413, table:MarketData_510050_sh, MaxRecordDate:20160412, Wind:2656
Date:20160414, table:MarketData_510050_sh, MaxRecordDate:20160413, Wind:2622
Date:20160415, table:MarketData_510050_sh, MaxRecordDate:20160414, Wind:2560
Date:20160418, table:MarketData_510050_sh, MaxRecordDate:20160415, Wind:2526
Date:20160419, table:MarketData_510050_sh, MaxRecordDate:20160418, Wind:2558
Date:20160420, table:MarketData_510050_sh, MaxRecordDate:20160419, Wind:2618
Date:20160421, table:MarketData_510050_sh, MaxRecordDate:20160420, Wind:2612
Date:20160422, table:MarketData_510050_sh, MaxRecordDate:20160421, Wind:2477
Date:20160425, table:MarketData_510050_sh, MaxRecordDate:20160422, Wind:2509
Date:20160426, table:MarketData_510050_sh, MaxRecordDate:20160425, Wind:2466
Date:20160427, table:MarketData_510050_sh, MaxRecordDate:20160426, Wind:2478
Date:20160428, table:MarketData_510050_sh, MaxRecordDate:20160427, Wind:2447
Date:20160429, table:MarketData_510050_sh, MaxRecordDate:20160428, Wind:2490
Date:20160503, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2580
Date:20160504, table:MarketData_510050_sh, MaxRecordDate:20160503, Wind:2447
Date:20160505, table:MarketData_510050_sh, MaxRecordDate:20160504, Wind:2429
Date:20160506, table:MarketData_510050_sh, MaxRecordDate:20160505, Wind:2584
Date:20160509, table:MarketData_510050_sh, MaxRecordDate:20160506, Wind:2911
Date:20160510, table:MarketData_510050_sh, MaxRecordDate:20160509, Wind:2546
Date:20160511, table:MarketData_510050_sh, MaxRecordDate:20160510, Wind:2542
Date:20160512, table:MarketData_510050_sh, MaxRecordDate:20160511, Wind:2585
Date:20160513, table:MarketData_510050_sh, MaxRecordDate:20160512, Wind:2378
Date:20160516, table:MarketData_510050_sh, MaxRecordDate:20160513, Wind:2629
Date:20160517, table:MarketData_510050_sh, MaxRecordDate:20160516, Wind:2420
Date:20160518, table:MarketData_510050_sh, MaxRecordDate:20160517, Wind:2528
Date:20160519, table:MarketData_510050_sh, MaxRecordDate:20160518, Wind:2387
Date:20160520, table:MarketData_510050_sh, MaxRecordDate:20160519, Wind:2420
Date:20160523, table:MarketData_510050_sh, MaxRecordDate:20160520, Wind:2435
Date:20160524, table:MarketData_510050_sh, MaxRecordDate:20160523, Wind:2463
Date:20160525, table:MarketData_510050_sh, MaxRecordDate:20160524, Wind:2459
Date:20160526, table:MarketData_510050_sh, MaxRecordDate:20160525, Wind:2419
Date:20160527, table:MarketData_510050_sh, MaxRecordDate:20160526, Wind:2362
Date:20160530, table:MarketData_510050_sh, MaxRecordDate:20160527, Wind:2503
Date:20160531, table:MarketData_510050_sh, MaxRecordDate:20160530, Wind:2874
Date:20160601, table:MarketData_510050_sh, MaxRecordDate:0, Wind:2594
Date:20160602, table:MarketData_510050_sh, MaxRecordDate:20160601, Wind:2489
Date:20160603, table:MarketData_510050_sh, MaxRecordDate:20160602, Wind:2544
Date:20160606, table:MarketData_510050_sh, MaxRecordDate:20160603, Wind:2521
Date:20160607, table:MarketData_510050_sh, MaxRecordDate:20160606, Wind:2351
